DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME,HELPER
30/06/2009,60,VCB,60,60,60,294070,2374
1/7/09,60.5,VCB,63,63,59.5,6248390,2373
2/7/09,58,VCB,59.5,60,57.5,1515670,2372
3/7/09,56,VCB,56.5,57,56,899720,2371
6/7/09,58.5,VCB,56,58.5,56,1571740,2370
7/7/09,56.5,VCB,57.5,58,56.5,1115420,2369
8/7/09,55.5,VCB,55,56,54.5,763030,2368
9/7/09,54,VCB,54.5,56,53.5,982430,2367
10/7/09,51.5,VCB,53,53.5,51.5,1973450,2366
13/07/2009,49,VCB,50,51.5,49,812260,2365
14/07/2009,47.8,VCB,49.2,49.2,47.5,847840,2364
15/07/2009,49,VCB,48,49.8,48,807250,2363
16/07/2009,49.8,VCB,50,50,49.4,638990,2362
17/07/2009,49.1,VCB,49.5,49.7,48.8,311000,2361
20/07/2009,46.8,VCB,47.1,47.3,46.7,869220,2360
21/07/2009,46.9,VCB,47.2,47.7,46.8,483900,2359
22/07/2009,47.5,VCB,47.5,47.6,47.2,411780,2358
23/07/2009,49.8,VCB,47,49.8,47,929090,2357
24/07/2009,52,VCB,52,52,52,624760,2356
27/07/2009,54.5,VCB,54.5,54.5,52.5,1535460,2355
28/07/2009,53,VCB,54.5,56,52.5,1192800,2354
29/07/2009,52.5,VCB,53.5,54,51.5,924570,2353
30/07/2009,51.5,VCB,52,52.5,50.5,606660,2352
31/07/2009,54,VCB,53.5,54,53,1125450,2351
3/8/09,56.5,VCB,56.5,56.5,55,2707260,2350
4/8/09,58.5,VCB,59,59,57,1869220,2349
5/8/09,58,VCB,58,59,57,1654270,2348
6/8/09,57,VCB,58,59,56.5,1656340,2347
7/8/09,56.5,VCB,56.5,57.5,56.5,1017420,2346
10/8/09,57.5,VCB,57,58,56.5,689300,2345
11/8/09,57,VCB,57,58,56.5,1207840,2344
12/8/09,56.5,VCB,57.5,57.5,56.5,996150,2343
13/08/2009,57,VCB,57.5,57.5,56.5,896790,2342
14/08/2009,57,VCB,56.5,57.5,56.5,709790,2341
17/08/2009,56,VCB,56.5,57,56,622790,2340
18/08/2009,55.5,VCB,55,56,55,927850,2339
19/08/2009,55.5,VCB,56.5,56.5,55,719390,2338
20/08/2009,55.5,VCB,56,56,55,578130,2337
21/08/2009,56,VCB,56,58,56,1444220,2336
24/08/2009,56.5,VCB,57,57,56,634370,2335
25/08/2009,55.5,VCB,56.5,56.5,55.5,577480,2334
26/08/2009,56,VCB,56,56.5,55.5,516120,2333
27/08/2009,56,VCB,56,56,55.5,538870,2332
28/08/2009,56.5,VCB,56.5,56.5,56,639140,2331
31/08/2009,57.5,VCB,57.5,57.5,56.5,874340,2330
1/9/09,57,VCB,56.5,57.5,56.5,847070,2329
3/9/09,56,VCB,56,56.5,54.5,1078760,2328
4/9/09,54.5,VCB,56,56,54.5,1015060,2327
7/9/09,53,VCB,53,54.5,52,954060,2326
8/9/09,53.5,VCB,54,54,53,687300,2325
