DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME,HELPER
2/1/19,53.6,VCB,53.9,54.3,53.5,1081640,186
3/1/19,53.6,VCB,54,54.1,52.7,1071350,185
4/1/19,54.4,VCB,53.3,54.4,52.6,1307310,184
7/1/19,54.6,VCB,55.3,55.5,54.5,1175810,183
8/1/19,55,VCB,55,55.2,54.5,1318810,182
9/1/19,55.8,VCB,55.5,56.1,54.8,1136370,181
10/1/19,55,VCB,55.8,55.8,55,794870,180
11/1/19,55.2,VCB,55.2,55.5,54.9,1115410,179
14/01/2019,55.3,VCB,55.2,55.5,54.9,759980,178
15/01/2019,55.9,VCB,55.3,56.1,55.2,1071080,177
16/01/2019,55.4,VCB,56.3,56.3,55,706160,176
17/01/2019,55.2,VCB,55.3,55.7,55.1,460060,175
18/01/2019,54.8,VCB,55.2,55.4,54.8,542400,174
21/01/2019,55.8,VCB,54.6,56.2,54.5,870530,173
22/01/2019,55.2,VCB,56,56,55.2,398340,172
23/01/2019,55.4,VCB,54.9,55.5,54.9,514720,171
24/01/2019,55.4,VCB,55.4,55.6,55,463870,170
25/01/2019,55.8,VCB,55.5,56.1,55.4,1008850,169
28/01/2019,55.5,VCB,56,56,55.5,336990,168
29/01/2019,56.7,VCB,55.5,56.7,55.2,973050,167
30/01/2019,56.7,VCB,56.7,57.2,56.7,1152720,166
31/01/2019,56.8,VCB,56.8,57.4,56.8,1147760,165
1/2/19,56.5,VCB,57,57.4,56.5,827040,164
11/2/19,58.1,VCB,57,58.2,56.8,1395030,163
12/2/19,58.6,VCB,58.1,59,57.8,1683680,162
13/02/2019,59.8,VCB,58.6,59.9,58.6,1853680,161
14/02/2019,60.2,VCB,59.8,60.3,59.6,1629070,160
15/02/2019,59.3,VCB,60,60,59.2,1249180,159
18/02/2019,60,VCB,59.5,60,59.5,1027840,158
19/02/2019,59,VCB,60,60.2,59,1304520,157
20/02/2019,59.1,VCB,59.3,59.6,58.9,818480,156
21/02/2019,60.1,VCB,59.5,60.1,59.1,2044240,155
22/02/2019,62,VCB,60.2,62.4,60,2502840,154
25/02/2019,63.4,VCB,62.5,63.9,62.3,2079790,153
26/02/2019,63,VCB,63.4,63.5,61.9,1976570,152
27/02/2019,61.9,VCB,62.8,63,61.6,1148480,151
28/02/2019,60.5,VCB,61.9,62.5,60.5,2027080,150
1/3/19,62.2,VCB,61,62.2,60.8,713500,149
4/3/19,62.8,VCB,62.2,63,62.2,1347480,148
5/3/19,63,VCB,62.8,63.8,62.5,1576750,147
6/3/19,62.7,VCB,63.1,63.3,61.9,1081870,146
7/3/19,63.1,VCB,62.7,63.8,62.6,1897450,145
8/3/19,62.8,VCB,62.4,63,62.1,997370,144
11/3/19,62.6,VCB,62.4,62.7,61.9,1020600,143
12/3/19,64.8,VCB,63,64.8,62.7,2194380,142
13/03/2019,65.2,VCB,65,65.2,64.5,1680350,141
14/03/2019,67,VCB,65.2,67,64.5,2271650,140
15/03/2019,66,VCB,67.2,67.2,66,2616060,139
18/03/2019,67.6,VCB,66.5,67.8,66.5,1936700,138
19/03/2019,66.8,VCB,67.6,67.6,66.7,1390640,137
20/03/2019,66.7,VCB,66.7,67.2,66.2,2441040,136
21/03/2019,66.6,VCB,66.9,67.9,66.5,1525770,135
22/03/2019,66.9,VCB,66.8,67,66.5,1375420,134
25/03/2019,65.5,VCB,65,66,64,1635900,133
26/03/2019,65.5,VCB,66.1,66.5,65.5,1127550,132
27/03/2019,65.5,VCB,65.9,65.9,64.7,538180,131
28/03/2019,66.7,VCB,65.7,66.7,65.4,742470,130
29/03/2019,67.3,VCB,67,67.5,66.8,678050,129
1/4/19,67.8,VCB,67.9,67.9,67.6,684060,128
2/4/19,67.5,VCB,68,68.5,67.5,556970,127
3/4/19,67.2,VCB,67.5,67.6,66.5,445650,126
4/4/19,67.7,VCB,67.2,67.9,66.8,948960,125
5/4/19,68.1,VCB,67.8,68.2,67.8,477530,124
8/4/19,69.7,VCB,68.1,69.7,67.9,1121900,123
9/4/19,69.8,VCB,69.7,70,69.4,759180,122
10/4/19,68.9,VCB,69.5,69.5,68.8,719030,121
